"Day","s","i","r","Stream 1","Stream 2","Stream 3","Stream 4","Stream 1 (Extended Analysis)"
32,0.824431834454032,0.0900011172336276,0.0855670483123409,1.02013510325331,1.02245066728267,1.01972912209754,1.02759400874345,NA
33,0.80730830043921,0.0975174636932283,0.0951742358675612,NA,NA,1.02249815396255,1.02998679225313,1953.37015420077
34,0.78919714860981,0.105352484087672,0.105450367302518,NA,NA,NA,NA,1992.37851752429
35,0.770286801267667,0.112936901363118,0.116776297369214,NA,NA,NA,NA,2002.94392506827
36,0.750489541115008,0.120598239281429,0.128912219603563,1.02526679014422,1.03154799181958,1.02698118528271,NA,2003.69947224175
37,0.729990093866916,0.128237004386871,0.141772901746212,NA,NA,NA,NA,2021.13115389709
38,0.708849692497467,0.135628484817224,0.155521822685309,NA,1.03325421286933,1.03174720468722,1.04303379134456,2123.60699976162
39,0.687355803777169,0.142667867286461,0.169976328936371,1.03213482668007,1.03645272027515,NA,1.0429191895655,NA
40,0.665625198435135,0.149187141159457,0.185187660405408,NA,NA,1.03470148614984,1.04598952319821,2137.91493474719
41,0.643645061208762,0.155258068634806,0.201096870156432,NA,NA,1.03543574983642,1.04850911741051,NA
42,0.621775863492735,0.160682590033414,0.217541546473851,1.03639281491903,NA,1.03529360504438,1.04796605699391,2171.41800460964
43,0.600249060932024,0.165010231622223,0.234740707445754,NA,1.0417960153353,1.03936011133918,1.05005759056812,2192.74971101655
44,0.578831867256881,0.168750802647093,0.252417330096026,1.03772387557142,1.04289043456226,1.038982003133,1.05000638592899,NA
45,0.557929496166508,0.171549499727806,0.270521004105686,NA,NA,1.0402238134391,NA,2238.05372312286
46,0.537373568958821,0.173845076263902,0.288781354777277,NA,NA,NA,NA,NA
47,0.517743910628674,0.174911984684895,0.307344104686432,NA,NA,1.0408239991054,1.05416498819765,2273.81206262459
48,0.498850239275689,0.175113205585696,0.326036555138615,1.03883659900252,1.04464797262426,NA,1.05360515239436,NA
49,0.480901609055919,0.174399317068521,0.34469907387556,NA,NA,NA,NA,NA
50,0.463619969416406,0.173150142345682,0.363229888237913,1.03970931597427,1.04301223734668,1.03860777802794,1.05554486005568,NA
51,0.447065755453207,0.171184530219058,0.381749714327735,NA,NA,NA,NA,NA
52,0.431479007069018,0.168536068640454,0.399984924290527,NA,1.04211806563583,NA,NA,NA
53,0.416795878181917,0.165191801410738,0.418012320407345,1.03611579691143,NA,1.03895317291396,NA,2184.65391105963
54,0.402979607151924,0.161361732400419,0.435658660447657,NA,NA,NA,NA,NA
55,0.389998667119303,0.157160162964418,0.452841169916279,NA,1.03787806480264,1.03518083772337,1.04889864815395,NA
56,0.377857139591582,0.152359867242217,0.469782993166201,NA,1.03769459385344,1.03323985593459,1.04746760384267,NA
57,0.36661573553542,0.147397252448196,0.485987012016383,NA,NA,NA,NA,2137.21535363632
58,0.356072486698652,0.142231925406196,0.501695587895151,NA,NA,NA,1.04310521267114,NA
59,0.34628400895559,0.136916416139151,0.516799574905259,1.02971813230215,1.03274207355834,1.03165288566306,1.04216004151759,NA
60,0.337210491355606,0.1314412840332,0.531348224611194,NA,1.03255890547598,1.03072052305772,1.03887514282684,NA
61,0.328761752220531,0.125814340411981,0.545423907367488,1.02731747004249,1.03254373937698,1.02744796722915,1.03825995580509,2049.49518023452
62,0.320791740987004,0.120307937665787,0.55890032134721,1.02792299667896,1.03017437514722,NA,NA,NA
63,0.313473080485009,0.114884370983247,0.571642548531744,NA,1.02895949340314,NA,NA,2002.06082604184
64,0.306574616670588,0.109478488893768,0.583946894435644,NA,1.02707421166704,NA,NA,2007.5749181961
65,0.300310849941925,0.104115172048861,0.595573978009214,1.02264553707697,1.02638727394693,1.02219992829615,1.03131081073896,1986.23894658714
66,0.294497628389562,0.0988823644252016,0.606620007185237,1.02181514314166,1.0229382698551,NA,1.02987363676066,NA
67,0.289035901412837,0.0938582525289124,0.617105846058251,NA,NA,NA,1.03137370904747,1934.92630958492
68,0.283863649325258,0.0890788149688966,0.627057535705845,1.01804826925036,NA,1.01972328230068,NA,NA
69,0.279145500857737,0.0842427359689494,0.636611763173313,1.01860125824915,NA,NA,NA,NA
70,0.274772933842399,0.07961080116752,0.645616264990081,NA,NA,1.01868232589577,1.02570416823919,1860.36975207744
71,0.27092301008981,0.074860540604001,0.654216449306189,1.01446810291863,NA,NA,1.02274786994274,1886.52380374381
72,0.267083628476037,0.0707178062318223,0.662198565292141,1.01360531441495,NA,1.01636610111213,NA,1821.15719829431
73,0.263718277375696,0.0665874769006389,0.669694245723665,1.01415755846558,1.01411463746776,1.01782261936035,1.02174312497864,1838.97096203431
74,0.260582708110803,0.0625798431795314,0.676837448709665,1.01196227028384,NA,1.01410176118713,NA,1808.2420943868
75,0.25782334270953,0.0588421478808518,0.683334509409618,1.00968931642446,1.01450279578878,1.0120785831879,1.01957556487745,1796.53880751776
76,0.254946879961312,0.0554993312064897,0.689553788832198,1.01123570745022,1.01173489954899,NA,1.01761018997036,1790.0210795137
77,0.252460699971876,0.0521401251198499,0.695399174908274,1.01005202318427,1.01203895000276,NA,NA,1792.10248549115
78,0.250183118931489,0.0487915089517936,0.701025372116717,1.0101234178146,NA,NA,NA,NA
79,0.248118935437684,0.0456280724526871,0.706252992109629,1.0080458930135,NA,1.0108939327476,NA,1770.19300881685
80,0.246144767871672,0.0427273089885727,0.711127923139755,NA,1.00872645267475,1.00831053692319,1.01329125273251,1766.90934362448
81,0.244329149386449,0.040011963136728,0.715658887476823,1.00786809627727,1.00855657303065,1.00785005503965,NA,NA
82,0.24254400478861,0.0376364366616427,0.719819558549747,1.00547719182841,NA,NA,NA,NA
83,0.241004799327258,0.0351390021461622,0.72385619852658,1.00481565504368,1.0070248647939,1.00859790988819,1.01046613416774,1735.98951729647
84,0.2395758847472,0.032858736719923,0.727565378532877,NA,NA,NA,NA,1698.17135248452
85,0.238211993663518,0.0307545811327167,0.731033425203765,NA,NA,NA,1.01044191445858,NA
86,0.237060388606653,0.0286322013857417,0.734307410007606,NA,1.00638067186919,1.00563483134008,NA,NA
87,0.235850919975113,0.0267812641638022,0.737367815861085,1.00546356920329,1.00633078042852,1.00435109064175,NA,NA
88,0.234778997081477,0.0250013414858826,0.74021966143264,1.00621299434362,NA,NA,1.00961849904927,NA
89,0.233903824298854,0.0231787172382755,0.742917458462871,1.00603265725958,1.00499280474323,NA,1.00771253015585,1688.18376052306
90,0.233039103199452,0.021587893693851,0.745373003106697,NA,NA,1.00469346698698,NA,NA
91,0.231974861885838,0.0202980424005511,0.74772709571361,1.0029986913977,1.0035619952458,NA,1.00795351439268,1699.45784058045
92,0.231231755972458,0.0187981097158455,0.749970134311696,NA,1.00292326081211,1.00375561196152,1.00572079649564,NA
93,0.23038623187926,0.0177707242395767,0.751843043881163,NA,1.00353526229264,NA,1.00586102923565,1672.71938776003
94,0.229608769883946,0.0167345729130068,0.753656657203047,1.00285117705321,1.00397991326919,NA,NA,NA
95,0.228899313687543,0.0156210700009792,0.755479616311478,1.00092921018178,1.00340366607473,1.00296750827968,1.00686898913264,1684.41871540597
96,0.228253053951646,0.0145383352724405,0.757208610775914,NA,1.00342911577096,1.00137148622633,1.00287089631355,NA
97,0.227610730542236,0.0137118188992787,0.758677450558485,NA,NA,1.00430855367127,1.00396791966459,1651.18458773322
98,0.226940400099705,0.0129347852743239,0.760124814625971,1.00292884364946,1.00312558411669,NA,1.00473876347128,1641.08728078127
99,0.226468043281302,0.0120561204055996,0.761475836313099,NA,1.00172023387239,1.00221421379971,NA,1662.16178246065
100,0.225971615739347,0.0112278210534973,0.762800563207156,1.00343577492523,1.00196498261263,NA,1.00285253113677,1652.31053156463
101,0.225470711325837,0.0105245962038517,0.764004692470312,1.00122996170923,1.00094276238697,1.00282941229882,1.00381177899802,NA
102,0.225091978700478,0.00978776446103261,0.76512025683849,NA,1.00219697195591,NA,NA,1652.91759170687
103,0.22471820245007,0.00908953882636831,0.766192258723561,1.00500484256202,NA,NA,NA,NA
104,0.224305820141058,0.00858417093863421,0.767110008920307,NA,NA,NA,NA,1655.274979233
105,0.223962598457124,0.00799797512260044,0.768039426420276,0.999242550910194,0.998422150292359,NA,NA,1660.7211951231
106,0.2236272171616,0.00741092165081093,0.768961861187589,1.00172824519376,1.00092121558785,1.00211203824487,NA,1645.38169582019
107,0.223357316601376,0.00685298387556005,0.769789699523064,NA,NA,1.0047087742488,NA,NA
108,0.223069215997377,0.00642714405490542,0.770503639947717,1.00102905853191,1.00276047540425,NA,NA,NA
109,0.222840928232079,0.00597644520055111,0.77118262656737,0.997422607791066,NA,NA,NA,1645.59307371618
110,0.222607109180861,0.00555932408223887,0.771833566736901,1.00108010716953,1.00040220801459,1.00148667399385,1.0007072756622,1613.50239297805
111,0.222352228693669,0.00529976282182427,0.772348008484507,0.999448161873583,1.00052759014779,1.00212744484111,1.0004954827279,1655.80116035908
112,0.222007561465823,0.00518991621345317,0.772802522320724,NA,0.999868825835654,NA,NA,NA
113,0.221819180520097,0.0049306416073052,0.773250177872598,1.00027016223437,NA,1.00219913165796,1.00274019833107,1631.85278287823
114,0.221765368786722,0.00443167064248804,0.773802960570789,1.00084009376209,NA,0.999355956057411,NA,NA
115,0.221748464759679,0.00395810215489213,0.774293433085429,1.00104671757744,0.999841636530485,1.00044922751448,NA,NA
116,0.221669005133065,0.00359316179255236,0.774737833074383,NA,1.0018983052554,1.00080745139371,1.00114894943587,1619.49345322836
117,0.221403701355614,0.00345605261757549,0.77514024602681,NA,1.0016662374666,1.00092703698867,NA,NA
118,0.221049665496805,0.00336171958556458,0.77558861491763,NA,NA,NA,NA,1634.35298819678
119,0.221058949143964,0.00301415402374717,0.775926896832289,0.998727260187476,NA,1.00091708004408,NA,NA
120,0.220890519892698,0.00300706011570962,0.776102419991593,1.00069777005862,0.999344008793294,1.00227232156204,NA,1643.51786375508
121,0.220716318960855,0.00283760037198037,0.776446080667165,NA,NA,1.00091560854882,NA,1619.60898553562
122,0.220434724365447,0.00288170017187441,0.776683575462678,0.999706081934345,1.00056527226844,NA,NA,1621.83694744374
123,0.220201018641359,0.0027970839492231,0.777001897409418,NA,1.00121093440642,0.999819205284849,NA,NA
124,0.220005599140683,0.00259661062273595,0.777397790236581,0.999400972898788,1.00157195242867,NA,1.00006646356975,NA
125,0.219922797305105,0.00231122176688208,0.777765980928013,NA,NA,NA,NA,NA
